ISIN,Nom,Type,Contrepartie,Valeur_Nominale,Prix_Pct,Haircut_Pct,Maturite,Rating
FR0013131877,OAT 0.50% 25 mai 2026,Souverain EU,BNP Paribas,15000000,99.92,0.5,2026-05-25,AAA
DE000BU0E295,Schatz 0% 13 mai 2026,Souverain EU,Goldman Sachs,20000000,99.96,0.5,2026-05-13,AAA
XS2176783319,ENI SpA 1.25% 18 mai 2026,Corp IG,HSBC London,6000000,99.97,1.0,2026-05-18,BBB+
XS2597973812,Vestas Wind Systems 4.125% 15 mai 2026,Corp IG,Nomura International plc,8000000,100.03,6.5,2026-05-15,BBB
FR001400H7V7,OAT 3.00% 25 mai 2033,Souverain EU,Société Générale,12000000,97.50,3.0,2033-05-25,AAA
FR001400QMF9,OAT 3.00% 25 nov 2034,Souverain EU,BNP Paribas,10000000,96.30,3.0,2034-11-25,AAA
FR001400X8V5,OAT 3.20% 25 mai 2035,Souverain EU,Goldman Sachs,8000000,97.30,3.0,2035-05-25,AAA
DE000BU22122,Schatz 2.10% 15 mar 2028,Souverain EU,BNP Paribas,9000000,99.60,1.0,2028-03-15,AAA
DE000BU25067,Bobl 2.50% 16 avr 2031,Souverain EU,Société Générale,7000000,99.05,1.5,2031-04-16,AAA
DE000BU27014,Bund 2.50% 15 nov 2032,Souverain EU,HSBC London,11000000,97.65,2.0,2032-11-15,AAA
FR0013505633,Aeroports de Paris 2.75% 2030,Corp IG,Hedge Fund Alpha,5000000,97.25,3.0,2030-04-02,A
FR001400WRE9,Teleperformance 4.25% 2030,Corp HY,Hedge Fund Alpha,4000000,92.60,13.0,2030-01-21,BB+
